id,name,score1,score2
144,student_144,91,82
145,student_145,60,68
146,student_146,96,64
147,student_147,54,57
148,student_148,62,92
149,student_149,60,92
150,student_150,84,81
151,student_151,95,59
152,student_152,86,81
153,student_153,82,73
154,student_154,93,89
155,student_155,88,79
156,student_156,100,74
157,student_157,86,68
158,student_158,72,60
159,student_159,69,88
160,student_160,95,93
161,student_161,84,87
162,student_162,100,70
163,student_163,51,70
164,student_164,50,54
165,student_165,97,58
166,student_166,68,50
167,student_167,82,74
168,student_168,80,66
169,student_169,85,87
170,student_170,57,85
171,student_171,98,56
172,student_172,75,67
173,student_173,56,52
174,student_174,66,67
175,student_175,53,61
176,student_176,92,56
177,student_177,58,55
178,student_178,94,73
179,student_179,100,68
180,student_180,62,60
181,student_181,74,80
182,student_182,85,67
183,student_183,83,57
184,student_184,59,90
185,student_185,95,84
186,student_186,90,86
187,student_187,90,75
188,student_188,55,79
189,student_189,50,90
190,student_190,58,86
191,student_191,82,88
192,student_192,76,90
193,student_193,93,60
194,student_194,59,92
195,student_195,72,94
196,student_196,69,92
197,student_197,60,78
198,student_198,65,57
199,student_199,63,100
200,student_200,99,70
201,student_201,83,89
202,student_202,77,62
203,student_203,94,64
204,student_204,84,88
205,student_205,81,61
206,student_206,75,97
207,student_207,55,86
208,student_208,69,91
209,student_209,55,50
210,student_210,87,63
211,student_211,56,55
212,student_212,75,59
213,student_213,50,78
214,student_214,62,74
215,student_215,80,53
216,student_216,80,95
217,student_217,54,82
218,student_218,97,65
219,student_219,61,90
220,student_220,78,62
221,student_221,75,54
222,student_222,86,88
223,student_223,75,98
224,student_224,87,94
225,student_225,75,85
226,student_226,81,70
227,student_227,87,60
228,student_228,78,54
229,student_229,52,94
230,student_230,58,56
231,student_231,84,93
232,student_232,80,59
233,student_233,65,96
234,student_234,79,66
235,student_235,89,94
236,student_236,92,66
237,student_237,61,80
238,student_238,92,63
239,student_239,91,53
240,student_240,90,60
241,student_241,96,93
242,student_242,100,88
243,student_243,67,80
244,student_244,96,53
245,student_245,85,74
246,student_246,84,52
247,student_247,51,53
248,student_248,77,81
249,student_249,97,70
250,student_250,57,74
251,student_251,51,56
252,student_252,51,87
253,student_253,59,79
254,student_254,91,79
255,student_255,60,72
256,student_256,55,93
257,student_257,97,88
258,student_258,98,74
259,student_259,74,94
260,student_260,74,95
261,student_261,87,70
262,student_262,69,52
263,student_263,97,78
264,student_264,82,62
265,student_265,99,99
266,student_266,93,85
267,student_267,92,85
268,student_268,72,97
269,student_269,73,62
270,student_270,52,54
271,student_271,56,72
272,student_272,78,94
273,student_273,60,61
274,student_274,55,50
275,student_275,57,81
276,student_276,72,74
277,student_277,100,100
278,student_278,65,65
279,student_279,69,60
280,student_280,83,52
281,student_281,76,63
282,student_282,92,62
283,student_283,84,72
284,student_284,82,58
285,student_285,97,91
286,student_286,81,86
287,student_287,97,80
288,student_288,96,65
289,student_289,71,82
290,student_290,80,81
291,student_291,68,88
292,student_292,79,79
293,student_293,71,60
294,student_294,90,61
295,student_295,70,73
296,student_296,57,87
297,student_297,60,89
298,student_298,82,86
299,student_299,81,58
300,student_300,75,83
301,student_301,99,89
302,student_302,82,96
303,student_303,68,54
304,student_304,84,90
305,student_305,70,71
306,student_306,78,86
307,student_307,62,79
308,student_308,90,97
309,student_309,75,91
310,student_310,63,95
311,student_311,61,81
312,student_312,71,75
313,student_313,96,89
314,student_314,66,63
315,student_315,74,79
316,student_316,82,50
317,student_317,85,92
318,student_318,89,71
319,student_319,97,61
320,student_320,67,64
321,student_321,93,98
322,student_322,84,69
323,student_323,50,100
324,student_324,70,84
325,student_325,68,65
326,student_326,53,90
327,student_327,75,67
328,student_328,100,63
329,student_329,78,63
330,student_330,83,74
331,student_331,99,58
332,student_332,84,56
333,student_333,51,86
334,student_334,92,84
335,student_335,80,63
336,student_336,79,65
337,student_337,54,56
338,student_338,98,92
339,student_339,71,54
340,student_340,63,54
341,student_341,53,99
342,student_342,74,65
343,student_343,100,95
344,student_344,70,79
345,student_345,91,67
346,student_346,93,60
347,student_347,87,92
348,student_348,67,57
349,student_349,55,100
350,student_350,75,66
351,student_351,73,72
352,student_352,62,55
353,student_353,86,72
354,student_354,67,95
355,student_355,85,75
356,student_356,72,52
357,student_357,93,98
358,student_358,65,100
359,student_359,50,91
360,student_360,59,91
361,student_361,62,75
362,student_362,70,52
363,student_363,91,69
364,student_364,66,52
365,student_365,59,78
366,student_366,97,52
367,student_367,81,88
368,student_368,89,65
369,student_369,66,85
370,student_370,77,79
371,student_371,68,57
372,student_372,69,51
373,student_373,70,78
374,student_374,99,78
375,student_375,84,65
376,student_376,95,55
377,student_377,64,96
378,student_378,82,70
379,student_379,83,65
380,student_380,53,99
381,student_381,84,88
382,student_382,78,56
383,student_383,65,56
384,student_384,85,80
385,student_385,75,60
386,student_386,59,56
387,student_387,64,80
388,student_388,92,67
389,student_389,70,93
390,student_390,87,66
391,student_391,88,63
392,student_392,56,84
393,student_393,70,87
394,student_394,80,83
395,student_395,63,88
396,student_396,50,52
397,student_397,81,81
398,student_398,87,63
399,student_399,71,89
400,student_400,97,72
401,student_401,52,70
402,student_402,77,55
403,student_403,94,84
404,student_404,51,79
405,student_405,99,70
406,student_406,96,93
407,student_407,81,64
408,student_408,91,55
409,student_409,73,59
410,student_410,70,93
411,student_411,68,86
412,student_412,99,98
413,student_413,85,95
414,student_414,99,78
415,student_415,63,75
416,student_416,82,52
417,student_417,95,100
418,student_418,88,55
419,student_419,92,60
420,student_420,66,61
421,student_421,75,68
422,student_422,58,78
423,student_423,76,62
424,student_424,71,79
425,student_425,76,96
426,student_426,68,80
427,student_427,91,53
428,student_428,53,58
429,student_429,98,97
430,student_430,74,51
431,student_431,78,80
432,student_432,58,82
433,student_433,51,53
434,student_434,85,78
435,student_435,76,66
436,student_436,76,54
437,student_437,71,73
438,student_438,72,74
439,student_439,56,80
440,student_440,53,82
441,student_441,67,57
442,student_442,70,55
443,student_443,82,97
444,student_444,89,83
445,student_445,65,88
446,student_446,51,61
447,student_447,72,69
448,student_448,80,64
449,student_449,89,99
450,student_450,70,100
451,student_451,61,71
452,student_452,74,93
453,student_453,86,86
454,student_454,96,87
455,student_455,56,59
456,student_456,51,59
457,student_457,64,66
458,student_458,58,51
459,student_459,89,75
460,student_460,58,88
461,student_461,81,84
462,student_462,59,98
463,student_463,91,54
464,student_464,63,84
465,student_465,65,94
466,student_466,100,55
467,student_467,95,75
468,student_468,86,72
469,student_469,75,63
470,student_470,74,59
471,student_471,96,90
472,student_472,52,86
473,student_473,86,77
474,student_474,65,52
475,student_475,63,72
476,student_476,67,95
477,student_477,59,98
478,student_478,78,76
479,student_479,50,65
480,student_480,90,91
481,student_481,79,79
482,student_482,59,94
483,student_483,64,100
484,student_484,56,77
485,student_485,77,70
486,student_486,93,69
487,student_487,93,97
488,student_488,63,81
489,student_489,72,68
490,student_490,70,71
491,student_491,56,96
492,student_492,86,51
493,student_493,74,80
494,student_494,90,56
495,student_495,83,73
496,student_496,100,55
497,student_497,87,53
498,student_498,88,83
499,student_499,98,98
500,student_500,67,57
501,student_501,58,94
502,student_502,95,73
503,student_503,82,81
504,student_504,62,72
505,student_505,63,100
506,student_506,86,74
507,student_507,57,88
508,student_508,70,65
509,student_509,83,81
510,student_510,67,86
511,student_511,97,62
512,student_512,64,84
513,student_513,60,53
514,student_514,94,57
515,student_515,94,86
516,student_516,64,94
517,student_517,59,97
518,student_518,93,67
519,student_519,90,83
520,student_520,60,59
521,student_521,67,87
522,student_522,85,73
523,student_523,59,55
524,student_524,77,86
525,student_525,71,64
526,student_526,78,62
527,student_527,69,50
528,student_528,65,62
529,student_529,58,64
530,student_530,52,63
531,student_531,62,64
532,student_532,70,91
533,student_533,57,89
534,student_534,95,69
535,student_535,87,95
536,student_536,53,75
537,student_537,63,66
538,student_538,51,83
539,student_539,74,97
540,student_540,62,84
541,student_541,86,86
542,student_542,100,57
543,student_543,67,52
544,student_544,99,87
545,student_545,74,75
546,student_546,88,59
547,student_547,65,71
548,student_548,62,52
549,student_549,100,51
550,student_550,99,61
551,student_551,50,72
552,student_552,70,71
553,student_553,82,79
554,student_554,67,58
555,student_555,76,52
556,student_556,71,84
557,student_557,73,54
558,student_558,82,59
559,student_559,89,70
560,student_560,73,60
561,student_561,82,55
562,student_562,92,64
563,student_563,87,83
564,student_564,88,67
565,student_565,69,87
566,student_566,64,80
567,student_567,68,61
568,student_568,99,54
569,student_569,96,96
570,student_570,78,65
571,student_571,50,54
572,student_572,54,56
573,student_573,94,95
574,student_574,80,63
575,student_575,53,99
576,student_576,72,88
577,student_577,98,62
578,student_578,87,82
579,student_579,53,98
580,student_580,93,81
581,student_581,88,79
582,student_582,90,71
583,student_583,91,66
584,student_584,86,94
585,student_585,96,94
586,student_586,93,85
587,student_587,73,72
588,student_588,70,77
589,student_589,83,55
590,student_590,84,70
591,student_591,82,59
592,student_592,80,65
593,student_593,94,83
594,student_594,63,78
595,student_595,66,52
596,student_596,81,70
597,student_597,86,87
598,student_598,84,87
599,student_599,88,80
600,student_600,93,73
601,student_601,59,76
602,student_602,86,99
603,student_603,84,87
604,student_604,56,66
605,student_605,86,61
606,student_606,89,58
607,student_607,78,60
608,student_608,85,56
609,student_609,54,74
610,student_610,100,77
611,student_611,69,75
612,student_612,83,70
613,student_613,96,51
614,student_614,56,73
615,student_615,66,93
616,student_616,67,79
617,student_617,79,88
618,student_618,59,77
619,student_619,62,100
620,student_620,72,76
621,student_621,95,73
622,student_622,53,69
623,student_623,92,97
624,student_624,92,83
625,student_625,88,82
626,student_626,86,72
627,student_627,91,67
628,student_628,76,93
629,student_629,56,99
630,student_630,94,92
631,student_631,100,51
632,student_632,73,100
633,student_633,96,66
634,student_634,50,61
635,student_635,70,65
636,student_636,70,84
637,student_637,90,73
638,student_638,80,98
639,student_639,64,70
640,student_640,98,74
641,student_641,63,79
642,student_642,91,98
643,student_643,85,75
644,student_644,60,91
645,student_645,73,52
646,student_646,94,52
647,student_647,71,58
648,student_648,95,74
649,student_649,79,71
650,student_650,58,61
651,student_651,59,89
652,student_652,71,75
653,student_653,58,73
654,student_654,94,79
655,student_655,79,66
656,student_656,56,66
657,student_657,65,82
658,student_658,88,70
659,student_659,99,80
660,student_660,77,83
661,student_661,73,75
662,student_662,100,90
663,student_663,69,94
664,student_664,58,87
665,student_665,79,79
666,student_666,51,61
667,student_667,84,97
668,student_668,100,93
669,student_669,82,86
670,student_670,89,64
671,student_671,86,73
672,student_672,64,54
673,student_673,69,79
674,student_674,72,59
675,student_675,61,90
676,student_676,75,68
677,student_677,66,61
678,student_678,63,53
679,student_679,70,88
680,student_680,77,60
681,student_681,100,93
682,student_682,57,52
683,student_683,94,91
684,student_684,96,71
685,student_685,95,93
686,student_686,57,63
687,student_687,62,71
688,student_688,77,65
689,student_689,78,61
690,student_690,84,53
691,student_691,55,73
692,student_692,98,90
693,student_693,61,100
694,student_694,74,64
695,student_695,93,55
696,student_696,83,50
697,student_697,73,66
698,student_698,65,89
699,student_699,68,57
700,student_700,52,69
701,student_701,55,89
702,student_702,81,95
703,student_703,95,89
704,student_704,74,87
705,student_705,65,80
706,student_706,76,78
707,student_707,88,85
708,student_708,72,97
709,student_709,95,78
710,student_710,70,93
711,student_711,73,80
712,student_712,57,55
713,student_713,90,98
714,student_714,79,54
715,student_715,70,70
716,student_716,51,92
717,student_717,62,90
718,student_718,70,58
719,student_719,50,56
720,student_720,96,91
721,student_721,53,83
722,student_722,99,59
723,student_723,55,89
724,student_724,55,74
725,student_725,50,72
726,student_726,56,96
727,student_727,83,63
728,student_728,54,93
729,student_729,81,68
730,student_730,80,52
731,student_731,99,81
732,student_732,81,71
733,student_733,71,99
734,student_734,54,52
735,student_735,66,90
736,student_736,98,71
737,student_737,89,76
738,student_738,84,61
739,student_739,88,84
740,student_740,75,89
741,student_741,56,69
742,student_742,73,64
743,student_743,51,78
744,student_744,67,70
745,student_745,75,100
746,student_746,50,71
747,student_747,80,74
748,student_748,55,65
749,student_749,74,83
750,student_750,79,84
751,student_751,60,63
752,student_752,74,62
753,student_753,97,53
754,student_754,54,79
755,student_755,88,54
756,student_756,88,83
757,student_757,64,51
758,student_758,92,95
759,student_759,73,95
760,student_760,93,79
761,student_761,88,83
762,student_762,80,86
763,student_763,58,67
764,student_764,81,67
765,student_765,81,65
766,student_766,72,79
767,student_767,82,62
768,student_768,88,90
769,student_769,82,55
770,student_770,59,79
771,student_771,91,70
772,student_772,96,58
773,student_773,82,99
774,student_774,82,71
775,student_775,94,95
776,student_776,76,93
777,student_777,87,95
778,student_778,50,77
779,student_779,100,73
780,student_780,78,87
781,student_781,53,73
782,student_782,65,55
783,student_783,61,64
784,student_784,90,73
785,student_785,95,69
786,student_786,52,78
787,student_787,57,51
788,student_788,88,94
789,student_789,100,71
790,student_790,75,50
791,student_791,97,56
792,student_792,78,96
793,student_793,98,99
794,student_794,78,88
795,student_795,75,79
796,student_796,71,51
797,student_797,56,73
798,student_798,77,64
799,student_799,74,62
800,student_800,78,62
801,student_801,60,93
802,student_802,78,52
803,student_803,85,65
804,student_804,51,67
805,student_805,71,50
806,student_806,50,70
807,student_807,94,56
808,student_808,84,80
809,student_809,96,58
810,student_810,93,71
811,student_811,55,55
812,student_812,96,65
813,student_813,91,91
814,student_814,61,51
815,student_815,97,59
816,student_816,67,61
817,student_817,70,79
818,student_818,76,65
819,student_819,63,80
820,student_820,76,81
821,student_821,53,70
822,student_822,99,91
823,student_823,68,92
824,student_824,58,62
825,student_825,82,81
826,student_826,62,60
827,student_827,100,69
828,student_828,90,84
829,student_829,85,58
830,student_830,82,77
831,student_831,51,75
832,student_832,99,79
833,student_833,74,100
834,student_834,53,84
835,student_835,97,91
836,student_836,61,85
837,student_837,56,88
838,student_838,82,79
839,student_839,92,68
840,student_840,83,53
841,student_841,76,74
842,student_842,95,60
843,student_843,54,96
844,student_844,67,94
845,student_845,75,55
846,student_846,97,88
847,student_847,58,90
848,student_848,50,96
849,student_849,58,73
850,student_850,70,56
851,student_851,65,86
852,student_852,71,58
853,student_853,54,74
854,student_854,69,77
855,student_855,97,68
856,student_856,61,67
857,student_857,66,73
858,student_858,82,83
859,student_859,91,85
860,student_860,54,91
861,student_861,56,96
862,student_862,70,70
863,student_863,61,65
864,student_864,70,89
865,student_865,77,80
866,student_866,93,67
867,student_867,70,98
868,student_868,50,62
869,student_869,71,88
870,student_870,100,98
871,student_871,86,77
872,student_872,67,62
873,student_873,71,71
874,student_874,57,81
875,student_875,75,78
876,student_876,89,89
877,student_877,68,74
878,student_878,56,99
879,student_879,51,56
880,student_880,92,98
881,student_881,66,95
882,student_882,90,95
883,student_883,89,68
884,student_884,99,73
885,student_885,82,75
886,student_886,69,74
887,student_887,71,90
888,student_888,86,66
889,student_889,85,81
890,student_890,65,68
891,student_891,84,61
892,student_892,78,53
893,student_893,61,94
894,student_894,57,88
895,student_895,59,60
896,student_896,94,69
897,student_897,87,96
898,student_898,77,59
899,student_899,96,50
900,student_900,92,55
901,student_901,62,59
902,student_902,71,60
903,student_903,57,94
904,student_904,80,51
905,student_905,61,70
906,student_906,92,70
907,student_907,59,100
908,student_908,76,73
909,student_909,77,97
910,student_910,78,100
911,student_911,92,95
912,student_912,62,76
913,student_913,53,85
914,student_914,97,56
915,student_915,80,75
916,student_916,68,60
917,student_917,59,66
918,student_918,95,94
919,student_919,51,99
920,student_920,88,63
921,student_921,91,54
922,student_922,70,84
923,student_923,93,96
924,student_924,61,92
925,student_925,55,77
926,student_926,53,95
927,student_927,84,86
928,student_928,67,93
929,student_929,59,84
930,student_930,98,72
931,student_931,95,53
932,student_932,83,76
933,student_933,65,74
934,student_934,98,98
935,student_935,78,96
936,student_936,55,61
937,student_937,92,55
938,student_938,89,59
939,student_939,60,60
940,student_940,55,63
941,student_941,67,76
942,student_942,57,50
943,student_943,67,92
944,student_944,85,85
945,student_945,68,63
946,student_946,84,89
947,student_947,68,90
948,student_948,68,93
949,student_949,64,78
950,student_950,77,59
951,student_951,64,62
952,student_952,62,51
953,student_953,91,88
954,student_954,85,94
955,student_955,78,85
956,student_956,66,83
957,student_957,88,96
958,student_958,78,66
959,student_959,90,64
960,student_960,77,96
961,student_961,86,86
962,student_962,74,80
963,student_963,78,82
964,student_964,88,87
965,student_965,53,57
966,student_966,65,81
967,student_967,62,74
968,student_968,67,99
969,student_969,60,53
970,student_970,78,74
971,student_971,87,92
972,student_972,91,96
973,student_973,51,88
974,student_974,51,84
975,student_975,67,87
976,student_976,79,59
977,student_977,93,53
978,student_978,67,93
979,student_979,65,100
980,student_980,50,81
981,student_981,73,58
982,student_982,79,99
983,student_983,53,75
984,student_984,65,74
985,student_985,69,92
986,student_986,78,64
987,student_987,76,72
988,student_988,69,56
989,student_989,77,66
990,student_990,87,59
991,student_991,66,88
992,student_992,74,53
993,student_993,78,83
994,student_994,90,55
995,student_995,71,100
996,student_996,77,63
997,student_997,67,56
998,student_998,94,78
999,student_999,94,80
1000,student_1000,71,53
1001,student_1001,74,73
1002,student_1002,57,70
1003,student_1003,96,51
1004,student_1004,66,63
1005,student_1005,98,89
1006,student_1006,72,79
1007,student_1007,62,50
1008,student_1008,87,70
1009,student_1009,73,100
1010,student_1010,71,55
1011,student_1011,83,95
1012,student_1012,87,92
1013,student_1013,98,50
1014,student_1014,99,83
1015,student_1015,56,60
1016,student_1016,59,87
1017,student_1017,55,94
1018,student_1018,84,70
1019,student_1019,53,60
1020,student_1020,61,62
1021,student_1021,57,87
1022,student_1022,85,65
1023,student_1023,89,58
1024,student_1024,66,92
1025,student_1025,51,78
1026,student_1026,79,88
1027,student_1027,71,75
1028,student_1028,99,77
1029,student_1029,88,84
1030,student_1030,57,61
1031,student_1031,98,55
1032,student_1032,75,99
1033,student_1033,76,75
1034,student_1034,62,80
1035,student_1035,57,57
1036,student_1036,53,57
1037,student_1037,72,90
1038,student_1038,71,57
1039,student_1039,94,68
1040,student_1040,65,72
1041,student_1041,68,70
1042,student_1042,68,92
1043,student_1043,76,88
1044,student_1044,68,88
1045,student_1045,70,87
1046,student_1046,55,65
1047,student_1047,66,54
1048,student_1048,97,89
1049,student_1049,58,83
1050,student_1050,57,52
1051,student_1051,80,95
1052,student_1052,57,61
1053,student_1053,80,82
1054,student_1054,52,94
1055,student_1055,57,94
1056,student_1056,70,55
1057,student_1057,79,65
1058,student_1058,94,62
1059,student_1059,59,94
1060,student_1060,97,51
1061,student_1061,79,64
1062,student_1062,83,93
1063,student_1063,92,60
1064,student_1064,76,54
1065,student_1065,84,78
1066,student_1066,50,63
1067,student_1067,74,58
1068,student_1068,91,54
1069,student_1069,67,60
1070,student_1070,50,100
1071,student_1071,96,82
1072,student_1072,89,94
1073,student_1073,68,74
1074,student_1074,68,88
1075,student_1075,74,92
1076,student_1076,62,70
1077,student_1077,60,80
1078,student_1078,95,100
1079,student_1079,52,95
1080,student_1080,76,82
1081,student_1081,54,79
1082,student_1082,89,73
1083,student_1083,73,70
1084,student_1084,62,96
1085,student_1085,67,93
1086,student_1086,85,75
1087,student_1087,66,63
1088,student_1088,90,98
1089,student_1089,71,99
1090,student_1090,65,70
1091,student_1091,74,98
1092,student_1092,82,51
1093,student_1093,97,91
1094,student_1094,92,89
1095,student_1095,63,83
1096,student_1096,87,94
1097,student_1097,61,85
1098,student_1098,62,77
1099,student_1099,97,70
1100,student_1100,83,87
1101,student_1101,67,96
1102,student_1102,51,64
1103,student_1103,83,84
1104,student_1104,51,78
1105,student_1105,68,52
1106,student_1106,98,81
1107,student_1107,93,66
1108,student_1108,64,62
1109,student_1109,72,65
1110,student_1110,80,84
1111,student_1111,81,55
1112,student_1112,86,66
1113,student_1113,50,91
1114,student_1114,84,64
1115,student_1115,68,61
1116,student_1116,67,69
1117,student_1117,72,97
1118,student_1118,79,51
1119,student_1119,65,92
1120,student_1120,51,82
1121,student_1121,63,99
1122,student_1122,73,50
1123,student_1123,98,69
1124,student_1124,63,90
1125,student_1125,93,80
1126,student_1126,97,95
1127,student_1127,89,96
1128,student_1128,57,88
1129,student_1129,96,50
1130,student_1130,58,52
1131,student_1131,97,87
1132,student_1132,57,52
1133,student_1133,53,65
1134,student_1134,71,71
1135,student_1135,74,53
1136,student_1136,83,89
1137,student_1137,86,96
1138,student_1138,76,64
1139,student_1139,88,54
1140,student_1140,82,88
1141,student_1141,62,92
1142,student_1142,85,76
1143,student_1143,80,82
1144,student_1144,52,72
1145,student_1145,76,64
1146,student_1146,100,58
1147,student_1147,69,68
1148,student_1148,86,78
1149,student_1149,89,57
1150,student_1150,85,78
1151,student_1151,95,70
1152,student_1152,57,63
1153,student_1153,54,94
1154,student_1154,57,66
1155,student_1155,72,51
1156,student_1156,63,68
1157,student_1157,66,68
1158,student_1158,65,84
1159,student_1159,93,55
1160,student_1160,99,80
1161,student_1161,94,90
1162,student_1162,99,58
1163,student_1163,66,93
1164,student_1164,78,98
1165,student_1165,84,59
1166,student_1166,76,89
1167,student_1167,71,95
1168,student_1168,91,69
1169,student_1169,77,73
1170,student_1170,67,53
1171,student_1171,65,82
1172,student_1172,52,51
1173,student_1173,60,79
1174,student_1174,75,72
1175,student_1175,84,100
1176,student_1176,85,76
1177,student_1177,92,51
1178,student_1178,82,54
1179,student_1179,91,95
1180,student_1180,71,63
1181,student_1181,75,80
1182,student_1182,69,53
1183,student_1183,53,87
1184,student_1184,67,72
1185,student_1185,53,56
1186,student_1186,54,70
1187,student_1187,50,72
1188,student_1188,59,50
1189,student_1189,84,58
1190,student_1190,64,52
1191,student_1191,86,70
1192,student_1192,67,62
1193,student_1193,77,72
1194,student_1194,69,85
1195,student_1195,68,73
1196,student_1196,77,84
1197,student_1197,82,67
1198,student_1198,65,90
1199,student_1199,64,79
1200,student_1200,63,89
1201,student_1201,55,95
1202,student_1202,63,99
1203,student_1203,81,65
1204,student_1204,81,93
1205,student_1205,92,51
1206,student_1206,93,86
1207,student_1207,72,92
1208,student_1208,85,99
1209,student_1209,83,70
1210,student_1210,51,84
1211,student_1211,94,64
1212,student_1212,90,74
1213,student_1213,72,96
1214,student_1214,87,74
1215,student_1215,92,77
1216,student_1216,62,69
1217,student_1217,92,88
1218,student_1218,58,52
1219,student_1219,51,93
1220,student_1220,92,93
1221,student_1221,62,59
1222,student_1222,100,77
1223,student_1223,78,94
1224,student_1224,95,77
1225,student_1225,84,57
1226,student_1226,97,54
1227,student_1227,84,58
1228,student_1228,67,81
1229,student_1229,69,58
1230,student_1230,58,87
1231,student_1231,78,70
1232,student_1232,93,67
1233,student_1233,93,50
1234,student_1234,81,61
1235,student_1235,84,60
1236,student_1236,97,90
1237,student_1237,87,66
1238,student_1238,51,83
1239,student_1239,85,51
1240,student_1240,82,78
1241,student_1241,77,73
1242,student_1242,95,97
1243,student_1243,80,50
1244,student_1244,77,96
1245,student_1245,91,50
1246,student_1246,92,93
1247,student_1247,97,50
1248,student_1248,73,50
1249,student_1249,72,70
1250,student_1250,92,66
1251,student_1251,70,84
1252,student_1252,65,95
1253,student_1253,96,61
1254,student_1254,76,66
1255,student_1255,82,53
1256,student_1256,69,69
1257,student_1257,64,98
1258,student_1258,54,53
1259,student_1259,56,56
1260,student_1260,93,66
1261,student_1261,96,56
1262,student_1262,58,65
1263,student_1263,64,65
1264,student_1264,72,77
1265,student_1265,86,54
1266,student_1266,65,95
1267,student_1267,91,79
1268,student_1268,88,77
1269,student_1269,69,100
1270,student_1270,99,93
1271,student_1271,74,70
1272,student_1272,88,91
1273,student_1273,63,79
1274,student_1274,65,78
1275,student_1275,73,75
1276,student_1276,55,65
1277,student_1277,91,67
1278,student_1278,54,77
1279,student_1279,57,55
1280,student_1280,96,90
1281,student_1281,59,77
1282,student_1282,90,64
1283,student_1283,51,63
1284,student_1284,76,57
1285,student_1285,84,67
1286,student_1286,84,65
1287,student_1287,83,80
1288,student_1288,75,73
1289,student_1289,74,85
1290,student_1290,62,94
1291,student_1291,60,83
1292,student_1292,82,86
1293,student_1293,88,76
1294,student_1294,71,85
1295,student_1295,67,53
1296,student_1296,93,69
1297,student_1297,87,98
1298,student_1298,92,92
1299,student_1299,85,53
1300,student_1300,62,63
1301,student_1301,86,74
1302,student_1302,93,94
1303,student_1303,83,95
1304,student_1304,95,90
1305,student_1305,81,92
1306,student_1306,55,73
1307,student_1307,94,89
1308,student_1308,65,51
1309,student_1309,77,98
1310,student_1310,70,58
1311,student_1311,97,52
1312,student_1312,52,59
1313,student_1313,55,67
1314,student_1314,50,55
1315,student_1315,94,71
1316,student_1316,95,73
1317,student_1317,85,67
1318,student_1318,87,63
1319,student_1319,86,51
1320,student_1320,53,60
1321,student_1321,73,55
1322,student_1322,56,52
1323,student_1323,88,98
1324,student_1324,92,80
1325,student_1325,53,54
1326,student_1326,97,90
1327,student_1327,90,85
1328,student_1328,63,88
1329,student_1329,82,76
1330,student_1330,79,58
1331,student_1331,66,84
